jersey_number,player_id,player_name,position,team_name,sortOrder,period,xCoord,yCoord,game_id
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,156,1,-55.0,35.0,2023020191
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,207,1,-76.0,-3.0,2023020499
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,241,1,-79.0,3.0,2023020653
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,302,2,87.0,-7.0,2023020521
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,312,2,83.0,1.0,2023020414
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,312,2,-71.0,-22.0,2023020529
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,376,2,-84.0,6.0,2023020422
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,425,2,76.0,6.0,2023020499
39.0,8477511.0,Anthony Mantha,R,Washington Capitals,499,2,77.0,-5.0,2023020191
15.0,8482113.0,Anton Lundell,C,Florida Panthers,437,2,80.0,-2.0,2023020282
15.0,8482113.0,Anton Lundell,C,Florida Panthers,735,3,72.0,-36.0,2023020147
2.0,8482245.0,Artem Zub,D,Ottawa Senators,348,2,-32.0,-5.0,2023020049
2.0,8482245.0,Artem Zub,D,Ottawa Senators,434,2,-32.0,33.0,2023020197
10.0,8478550.0,Artemi Panarin,L,New York Rangers,77,1,56.0,-29.0,2023020169
10.0,8478550.0,Artemi Panarin,L,New York Rangers,122,1,-46.0,-2.0,2023020370
10.0,8478550.0,Artemi Panarin,L,New York Rangers,128,1,50.0,-10.0,2023020124
