jersey,person.id,person.fullName,position,team_name,goals
41,8484125,Hunter McKown,Center,Columbus Blue Jackets,0
42,8476312,Josh Manson,Defenseman,Colorado Avalanche,0
42,8477508,Curtis Lazar,Center,New Jersey Devils,1
42,8477953,Kasperi Kapanen,Right Wing,St. Louis Blues,0
42,8478028,Fredrik Olofsson,Left Wing,Colorado Avalanche,1
42,8478055,Gustav Forsling,Defenseman,Florida Panthers,0
42,8480074,Alexandre Texier,Center,Columbus Blue Jackets,1
42,8480796,Martin Fehervary,Defenseman,Washington Capitals,0
42,8484146,Tristan Bertucci,Defenseman,Dallas Stars,0
43,8475160,Kyle Clifford,Left Wing,Toronto Maple Leafs,1
43,8476278,Colin Blackwell,Center,Chicago Blackhawks,0
43,8476880,Tom Wilson,Right Wing,Washington Capitals,2
43,8478178,Darren Raddysh,Defenseman,Tampa Bay Lightning,0
43,8480157,Calle Rosen,Defenseman,St. Louis Blues,0
43,8480800,Quinn Hughes,Defenseman,Vancouver Canucks,3
43,8481032,Paul Cotter,Center,Vegas Golden Knights,0
43,8482684,Luke Hughes,Defenseman,New Jersey Devils,1
43,8483609,Adam Klapka,Right Wing,Calgary Flames,0
43,8484263,Aidan Fulp,Defenseman,New York Islanders,0
44,8471709,Marc-Edouard Vlasic,Defenseman,San Jose Sharks,1
44,8475177,Calvin de Haan,Defenseman,Tampa Bay Lightning,0
44,8475235,Nicolas Deslauriers,Left Wing,Philadelphia Flyers,1
44,8475790,Erik Gudbranson,Defenseman,Columbus Blue Jackets,0
