jerseyNumber,person.id,person.fullName,team_name,goals
15.0,8480862.0,Jared McIsaac,Detroit Red Wings,0
46.0,8474716.0,Jared Spurgeon,Minnesota Wild,0
28.0,8479994.0,Jaret Anderson-Dolan,Los Angeles Kings,0
25.0,8475797.0,Jarred Tinordi,Chicago Blackhawks,0
16.0,8477450.0,Jason Dickinson,Chicago Blackhawks,0
21.0,8480027.0,Jason Robertson,Dallas Stars,2
16.0,8475722.0,Jason Zucker,Arizona Coyotes,0
30.0,8483530.0,Jaxson Stauber,Chicago Blackhawks,0
44.0,8477034.0,Jaycob Megna,Seattle Kraken,0
20.0,8477126.0,Jayson Megna,Boston Bruins,0
44.0,8476419.0,Jean-Gabriel Pageau,New York Islanders,1
93.0,8482147.0,Jean-Luc Foudy,Colorado Avalanche,0
77.0,8470604.0,Jeff Carter,Pittsburgh Penguins,0
26.0,8473507.0,Jeff Petry,Detroit Red Wings,0
53.0,8475784.0,Jeff Skinner,Buffalo Sabres,3
28.0,8479705.0,Jeffrey Viel,Winnipeg Jets,0
39.0,8482051.0,Jerad Rosburg,Dallas Stars,0
72.0,8482173.0,Jeremie Poirier,Calgary Flames,0
3.0,8478468.0,Jeremy Lauzon,Nashville Predators,0
1.0,8480280.0,Jeremy Swayman,Boston Bruins,0
70.0,8480003.0,Jesper Boqvist,Boston Bruins,0
63.0,8479407.0,Jesper Bratt,New Jersey Devils,4
71.0,8475855.0,Jesper Fast,Carolina Hurricanes,0
30.0,8482661.0,Jesper Wallstedt,Minnesota Wild,0
82.0,8480829.0,Jesperi Kotkaniemi,Carolina Hurricanes,0
56.0,8481058.0,Jesse Ylönen,Montréal Canadiens,0
73.0,8482982.0,Jet Greaves,Columbus Blue Jackets,0
2.0,8481486.0,Jimmy Schuldt,Seattle Kraken,0
